Alien Number,Name,Planet of Origin,Earth Birthdate ,Favorite Earth Food,Favorite Earth Music Genre,Happiest Hobby/Pastime,Favorite Earth Book,Number of Eyes,Means of Ambulation,Favorite Footwear, Job Title,Salary (USD),Dream Job Title,Singing Voice,Bio
52,Intergalix,Krachonk,9/2/1953,chicken,country,playing ukulele,The Cricket in Times Square by George Selden,1,"walking, tip-toeing",ballet slippers,Moon Base Operator,205878,Astrological Feng Shui Expert for Spaceships,soprano,"Meet Intergalix, a Moon Base Operator orchestrating lunar operations with  finesse! When not tending to lunar affairs, Intergalix strums fun melodies on their ukulele, filling the moonlit expanse with enchanting tunes. They savor in the delights of chicken, relishing each finger-licking bite. And as the twangy rhythms of country music resonate through the lunar landscape, Intergalix's spirit dances, finding solace and harmony in the delightful melodies. "
53,Nebuloria,Proboscisk,2/25/1927,ramen,hip hop,hiking,A Little Princess by Frances Hodgson Burnett,3,walking,penny loafers,Rocket Test Pilot,188444,Celestial Jewelry Designer using Cosmic Materials,bass,"Welcome Nebuloria a Rocket Test Pilot soaring through the galaxies with exhilaration! When not pushing the boundaries of space exploration, Nebuloria embarks on hikes, traversing celestial landscapes with boundless curiosity. They relish the flavors of ramen, savoring each slurp of curly noodles. And as the infectious beats of hip hop reverberate through the expanse, Nebuloria's spirit grooves, finding inspiration and rhythm in the melodies. "
54,Zephyria,Graykor 5,2/16/1954,curry,rap,cooking,The Adventures of Pinocchio by Carlo Collodi,1,walking,monk strap shoes,Interdimensional Sound Engineer,711216,Cosmic Meditation Guru,baritone and falsetto,"Welcome to the interdimensional realm of Zephyria, the sound engineer transcending sonic boundaries with mastery! When not shaping interdimensional soundscapes, Zephyria conjures up enticing flavors in their culinary laboratory, crafting culinary delights that defy earthly imagination. They relish the aromatic spices of curry, savoring each tantalizing bite of tasteful fusion. And as the rhythmic beats of rap music pulse through the cosmic dimensions, Zephyria's spirit grooves, finding inspiration and rhythm in the cosmic flows."
55,Astrolon,Proboscisk,4/5/1971,nachos,reggae,reading comics,The Water Babies by Charles Kingsley,1,rolling,none,Space Archaeobotanist,835607,Interstellar Sports Ambassador,soprano,"Meet Astrolon, the Space Archaeobotanist unearthing extraterrestrial flora with enthusiastic curiosity! When not unraveling the secrets of planetary vegetation, Astrolon immerses themselves in the colorful panels of intergalactic comics, finding joy in the whimsical tales. They savor the crunch of  nachos, relishing each cheesy bite with delight. And as the rhythmic melodies of reggae transport them through the soundwaves, Astrolon's spirit sways, finding solace and harmony in the soothing vibrations. "
56,Galactavia,Graykor 5,7/16/1926,burrito,folk,playing board games,Peter Pan by J.M. Barrie,3,"walking, skipping",woven sandals,Zero-G Dance Choreographer,401865,Extraterrestrial Fashion Model,soprano,"Meet Galactavia, the Zero-G Dance Choreographer defying gravity with grace! When not crafting ethereal movements, Galactavia immerses themselves in the strategic realm of intergalactic board games, mastering strategies with playful finesse. They savor the flavors of burritos, relishing each delicious bite. And as the soulful melodies of folk music sweep through the expanse, Galactavia's spirit twirls, finding inspiration and rhythm in the delightful harmonies."
57,Xylostar,Amethystopia,6/14/1951,dumplings,classic rock,solving puzzles,Black Beauty by Anna Sewell,2,"walking, jetpack",kitten heels,Extraterrestrial Geologist,751723,Galactic Surfboard Designer,baritone,"Xylostar is an Extraterrestrial Geologist uncovering the mysteries of celestial formations with curiosity! When not deciphering the secrets of fascinating landscapes, Xylostar immerses themselves in the intricate world of puzzles, piecing together enigmas with joyous determination. They savor the delicate flavors of interstellar dumplings, relishing each bite with delight. And as the timeless melodies of classic rock resonate through the cosmic expanse, Xylostar's spirit rocks, finding inspiration and rhythm in the nostalgic harmonies."
58,Quasaris,Isronch Major,6/14/1902,pancakes,electronic,model building,The Jungle Book by Rudyard Kipling,1,walking,platform sneakers,Celestial Barista,704022,Astrological Tarot Reader for Celestial Beings,alto,"Welcome to the realm of Quasaris, a Celestial Barista brewing cosmic concoctions with aromatic finesse! When not creating otherworldly beverages, Quasaris immerses themselves in the intricate art of model building, constructing wonders with meticulous dedication. They savor the fluffy delights of fluffy pancakes, relishing each bite. And as the pulsating beats of electronic music echo through the expanse, Quasaris's spirit dances, finding inspiration and rhythm in the melodies."
59,Stellaria,Amethystopia,5/5/1955,waffles,metal,writing poetry,Alice's Adventures in Wonderland by Lewis Carroll,1,"walking, skipping",sandal wedges,Galactic Chef de Cuisine,332926,Intergalactic Theme Park Ride Tester,alto,"Step into the kitchen of Stellaria, the Galactic Chef de Cuisine concocting celestial culinary delights with imaginative creativity! When not crafting otherworldly dishes, Stellaria immerses themselves in the realm of poetry, weaving melodic verses with crafty words. They savor the golden crispness of waffles, relishing each bite of sweetness. And as the thunderous riffs of metal music reverberate through the universe, Stellaria's spirit roars, finding inspiration and rhythm in the heavy melodies."
60,Cosmora,Zacon II,4/11/1949,sandwich,punk rock,pottery,The Wonderful Wizard of Oz by L. Frank Baum,1,roller skating,none,Hyperspace Traffic Controller,322152,Stellar Yoga Instructor in Zero Gravity,alto,"Meet Cosmora the intergalactic maestro of hyperspace traffic control, orchestrating celestial pathways with finesse! When not navigating intergalactic lanes, Cosmora immerses themselves in the realm of poetry, penning verses that defy gravity and ignite imagination. They savor the delectable layers of  sandwiches, relishing each bite. And as the rebellious chords of punk rock resonate through the atmosphere, Cosmora's spirit ignites, finding inspiration and rhythm in the melodies."
61,Solaxis,Isronch Minor,3/4/1969,popcorn,funk,embroidery,The Velveteen Rabbit by Margery Williams,3,"walking, jumping",huaraches,Alien Artifact Restorer,116903,Cosmic Film Director of Epic Space Sagas,bass,"Step into the world of Solaxis, the intergalactic master of alien artifact restoration, bringing forgotten relics to life with their creativity! When not delicately stitching the threads of the universe, Solaxis immerses themselves in the art of embroidery, crafting intricate patterns that dance across the fabric. They savor the fluffy bursts of popcorn, delighting in each celestial crunch. And as the groovy rhythms of funk fill the room, Solaxis's spirit grooves in the melodies "
62,Lunaria,Amethystopia,12/13/1903,donuts,disco,scrapbooking,The Snowy Day by Ezra Jack Keats,2,"walking, skipping",saddle shoes,Universal Ethnographer,719243,Space Archaeoanthropologist of Alien Civilizations,alto,"Introducing Lunaria, the interstellar voyager on a mission to unravel the tapestry of civilizations across the cosmos! As a Universal Ethnographer, Lunaria immerses themselves in the vibrant cultures of distant galaxies, capturing the essence of diverse beings in scrapbooks that transcend space and time. When not exploring, Lunaria indulges in the delectable delights of donuts, savoring each sweet bite that sends their taste buds soaring across nebulous realms. And when the cosmic disco beats ignite, Lunaria's spirit grooves to the pulsating rhythms, finding inspiration in the dance floor. "
63,Zentaris,Amethystopia,12/9/1958,cookies,gospel,knitting,Corduroy by Don Freeman,3,rolling,none,Gravity Defying Stunt Performer,194160,Alien Technology Ethicist and Innovator,tenor,"Meet Zentaris, the extraordinary alien defying the laws of gravity as a daring stunt performer! With jaw-dropping maneuvers and breathtaking acrobatics, Zentaris astounds audiences across the galaxies. When not soaring through the celestial heights, Zentaris channels their passion into the delicate art of knitting, weaving cosmic threads into intricate designs. And after a thrilling performance, nothing satisfies Zentaris' appetite like the warm embrace of freshly baked cookies, filling the air with a heavenly aroma. To nourish the soul, Zentaris finds solace in the soul-stirring melodies of gospel music, resonating deep within their being. "
64,Astrora,Isronch Major,1/5/2000,soup,techno,playing badminton,Goodnight Moon by Margaret Wise Brown,1,walking,golf shoes,Stellar Mechanic,939347,Celestial Virtual Reality Game Developer,bass,"Introducing Astrora, the masterful Stellar Mechanic navigating the vast cosmic machinery with precision and finesse! With a knack for fixing celestial gears and tinkering with intergalactic contraptions, Astrora keeps the cosmic engines running smoothly. When not immersed in the fascinating world of mechanics, Astrora takes to the badminton court, effortlessly gliding and smashing through space-time with extraterrestrial agility. And after an exhilarating match, Astrora indulges in a steaming bowl of hearty soup, savoring the comforting flavors that bring warmth to their interstellar journeys. To fuel their cosmic adventures, Astrora finds solace in the pulsating beats of techno music, harmonizing with the rhythmic hum of the universe."
65,Novaflux,Proboscisk,11/4/1925,bread,house,meditation,Make Way for Ducklings by Robert McCloskey,2,"walking, tip-toeing",tap shoes,Astral Librarian,260994,Cosmic Wildlife Safari Guide,bass,"Meet Novaflux, the radiant Astral Librarian navigating the boundless realms of knowledge with cosmic grace! With an insatiable thirst for wisdom, Novaflux curates and preserves the celestial archives, weaving together the tapestry of cosmic literature. When not immersed in the sacred texts of the universe, Novaflux finds solace in the tranquility of meditation, communing with the cosmic energies that permeate their being. And to nourish their cosmic journey, Novaflux delights in the comforting aroma of freshly baked bread, savoring each heavenly bite. In moments of celestial introspection, Novaflux finds harmony in the ethereal melodies of house music, allowing the pulsating beats to elevate their consciousness. Embrace the enlightenment and embark on an adventure with Novaflux, the Astral Librarian who embodies the cosmic synergy of knowledge, meditation, wholesome bread, and infectious house beats."
66,Meteoris,Amphibia,11/19/1950,hot dog,alternative,scrapbooking,Caps for Sale by Esphyr Slobodkina,1,walking,mountain boots,Interplanetary News Reporter,56900,Planetary Party Planner for Intergalactic Celebrations,alto,"Introducing Meteoris, the stellar Interplanetary News Reporter with an unquenchable curiosity for the cosmos! Meteoris traverses the galaxy, capturing extraordinary stories and delivering them with flair. When not uncovering interstellar scoops, Meteoris indulges in the art of scrapbooking, meticulously chronicling the wonders encountered along the way. Fueling their adventures, Meteoris finds solace in the simple pleasure of a hot dog, savoring the flavors that tickle their taste buds. And to harmonize their soul, Meteoris immerses themselves in the captivating melodies of alternative music, embracing the unconventional and pushing the boundaries of their journey."
67,Celestoria,Graykor 5,1/7/1957,sushi,indie,playing harmonica,The Giving Tree by Shel Silverstein,1,rolling,ski boots,Space Biologist,442232,Astrological Numerologist for Interplanetary Fortune Telling,contralto,"Meet Celestoria, the enchanting Space Biologist on a quest to uncover the secrets of life among the stars! With a harmonica in hand, Celestoria serenades the cosmos with melodies that resonate across the galaxies. When not engrossed in research, Celestoria indulges in the delicate art of sushi creation, crafting cosmic rolls that are out of this world. And to harmonize their soul, Celestoria immerses themselves in the captivating melodies of indie music."
68,Interon,Strogarus,3/28/1949,pizza,grunge,gardening,Frog and Toad Are Friends by Arnold Lobel,1,rolling,ice skates,Cosmic Artist-in-Residence,44498,Intergalactic Spa Retreat Owner and Healer,baritone,"Step into the fantastical world of Interon, the extraordinary Cosmic Artist-in-Residence! This otherworldly being weaves mesmerizing masterpieces that blend cosmic hues with earthly inspirations. When not creating artfully wonders, Interon can be found nurturing their intergalactic garden, coaxing planets to bloom with celestial flora. Amidst their artistic pursuits, they savor the zesty wonders of pizza, crafting flavors that defy earthly norms. And who knew an alien could groove to grunge? Interon headbangs to cosmic riffs while splattering paint on the canvas of the universe. Prepare for a whimsical journey into the artistic cosmos with Interon!"
69,Nebulava,Strogarus,3/23/1937,pasta,R&B,painting,"Alexander and the Terrible, Horrible, No Good, Very Bad Day by Judith Viorst",3,roller skating,roller skates,Extraterrestrial Sports Coach,24422,Extraterrestrial Fashion Designer for Intergalactic Runways,falsetto,"Introducing Nebulava, the vibrant Extraterrestrial Sports Coach who brings cosmic pizzazz to the world of intergalactic athletics! With boundless energy and a passion for pushing boundaries, Nebulava guides alien athletes to new heights of achievement. When not devising innovative training strategies, they find solace in painting, an otherworldly artform that challenges gravity itself. Nebulava's love for pasta is unmatched, experimenting with interstellar flavors that make taste buds dance across galaxies. And in moments of relaxation, they sway to the smooth beats of R&B, harmonizing the rhythm of the cosmos."
70,Zephyron,Graykor 5,9/21/1932,tacos,soul,photography,Ferdinand by Munro Leaf,1,"swimming, walking",welly socks,Zero-Gravity Massage Therapist,409333,Celestial DJ Mixing Cosmic Beats,mezzo-soprano,"Get ready to float away on clouds of relaxation with Zephyron, the enchanting Zero-Gravity Massage Therapist from beyond the stars! With gentle touch and cosmic grace, Zephyron eases away earthly tensions, offering intergalactic rejuvenation. When not creating zero-gravity bliss, they capture ethereal moments through their lens, immortalizing the beauty of the universe with their passion for photography. And who can resist the gravitational pull of delicious tacos? Zephyron explores the galaxy of flavors, crafting celestial combinations that delight the palate."
71,Astrovara,Isronch Minor,8/8/1964,burger,ska,candle making,Madeline by Ludwig Bemelmans,3,walking,flip-flop slippers,Astro-oceanographer,699252,Cosmic Children's Book Author and Illustrator,bass,"Meet Astrovara, an Astrooceanographer who dives into the depths of celestial seas! With a sense of wonder and an insatiable curiosity, they unravel the mysteries of the deepest oceans. When not charting the cosmic tides, Astrovara indulges in the art of candle making, crafting ethereal illuminations that flicker like distant stars. And who knew an alien could appreciate a good burger? Astrovara savors the intergalactic flavors, concocting gravity-defying combinations that defy culinary norms. But their true passion lies in the energetic rhythms of ska, where they dance to cosmic beats and radiate boundless joy."
72,Galaxora,Isronch Minor,10/7/1993,fries,reggaeton,beekeeping,Curious George by H.A. Rey,3,walking,fuzzy boots,Nebula Sculptor,680450,Space Archaeozoologist of Ancient Alien Creatures,contralto,"Enter the enchanting universe of Galaxora, the celestial Nebula Sculptor whose creations sparkle among the stars! With deft hands and an artist's eye, they shape ethereal nebulae into mesmerizing sculptures. When not molding inspired wonders, Galaxora tends to their buzzing companions as an interstellar beekeeper, harmonizing with the hum of honeybees. And amidst their celestial artistry, they savor the simple pleasures of crispy fries, concocting dipping sauces that defy gravity's hold. But it's the pulsating beats of reggaeton that truly make Galaxora groove, swirling through the cosmos with rhythmic bliss."
73,Xylonis,Graykor 5,6/27/1937,ice cream,dance,soap making,The Rainbow Fish by Marcus Pfister,1,walking,furry slippers,Cosmic Adventure Guide,140349,Alien Technology Futurist and Inventor,alto,"Embark on an extraordinary journey led by Xylonis, the exuberant Cosmic Adventure Guide who knows the secrets of the universe! With boundless enthusiasm, they whisk travelers through celestial wonders, from supernova picnics to intergalactic hiking trails. When not exploring the cosmos, Xylonis dives into the art of soap making, crafting interstellar suds that transport you to far-off galaxies. And what's an adventure without a scoop of cosmic delight? Xylonis delights in all flavors of ice cream, conjuring up gravity-defying concoctions that bring joy with every lick. And when the stars align, they dance through the cosmos, choreographing celestial moves that astound and inspire."
74,Quasaron,Maedora,7/7/1994,chocolate,dubstep,jewelry making,Stellaluna by Janell Cannon,2,"walking, jetpack",feathered sandals,Space Archaeoastrologer,560213,Stellar Astral Cartographer,tenor,"Prepare to be dazzled by Quasaron, the cosmic Space Archaeoastrologer who unravels the celestial mysteries of ancient civilizations! With cosmic lenses and a celestial compass, they navigate the tapestry, decoding the secrets hidden within the stars. When not deciphering the cosmos, Quasaron crafts celestial adornments as a master jewelry maker, fashioning intergalactic gems that shimmer with cosmic magic. And in moments of indulgence, they savor the sweet ecstasy of chocolate, concocting otherworldly flavors that ignite the taste buds. But it's the pulsating beats of dubstep that make Quasaron's cosmic heart race, transforming the universe into a cosmic dancefloor."
75,Cosmova,Amphibia,8/3/1949,salad,ambient,leather crafting,The Polar Express by Chris Van Allsburg,3,"swimming, walking",jelly sandals,Alien Linguistic Anthropologist,?868863,Interplanetary Food Critic for Exquisite Alien Cuisines,baritone,"Meet Cosmova, the whimsical Alien Linguistic Anthropologist who dances through the cosmic tapestry of languages! With a keen eye and a curious mind, they unravel the intricacies of interstellar dialects and unearth linguistic treasures. When not deciphering linguistic puzzles, Cosmova crafts intergalactic wonders through the art of leather crafting, fashioning ethereal designs that transcend the boundaries of space and time. Amidst their scholarly pursuits, they find solace in the crisp freshness of salads, concocting cosmic combinations that delight the palate. And as the stars twinkle in the night sky, Cosmova loses themselves in the enchanting melodies of ambient music, where the universe itself becomes their harmonious symphony."
76,Solatis,Hexapoda Minor,10/26/1904,steak,trance,beekeeping,The Little Engine That Could by Watty Piper,1,roller skating,none,Starship Fashion Stylist,61437,Astrological Comedy Improviser for Cosmic Laughter,alto,"Meet Solatis, the interstellar Starship Fashion Stylist who creates cosmic couture and dances to the pulsating beats of trance. With a buzz for beekeeping and a sizzle for steak, they infuse intergalactic flavor into their cosmic creations. Prepare to be mesmerized by their out-of-this-world fashion sense!"
77,Lunarix,Krachonk,2/25/1979,chicken,instrumental,soap making,Tikki Tikki Tembo by Arlene Mosel,3,walking,tassel loafers,Intergalactic Mediator,629592,Alien Language Translator,falsetto,"Enter the world of Lunarix, the alien Intergalactic Mediator who brings harmony to the cosmos! With a heart for peaceful resolutions, they diffuse celestial conflicts with cosmic finesse. When not bridging cosmic divides, Lunarix indulges in the art of soap making, crafting interstellar lathers that cleanse both body and soul. Their taste buds dance with delight as they savor celestial flavors of chicken, concocting gravity-defying recipes that ignite the palate. And amidst the cosmic symphony, they find solace in the enchanting melodies of instrumental music, where the universe itself becomes their harmonious orchestra. Embrace tranquility and cosmic serenity with Lunarix's whimsical touch!"
78,Orionar,Krachonk,9/10/1973,ramen,opera,jewelry making,The Paper Bag Princess by Robert Munsch,2,"walking, jetpack",wingtip boots,Extraterrestrial Music Composer,218420,Universal Space Ballet Dancer,tenor,"Enter the enchanting realm of Orionar, the Extraterrestrial Music Composer whose celestial melodies transport souls across galaxies! With cosmic symphonies that resonate in the depths of the universe, they weave ethereal harmonies that stir emotions. When not composing cosmic masterpieces, Orionar crafts interstellar adornments, fashioning jewelry that radiates with cosmic brilliance. Their taste buds delight in the rich flavors of ramen, creating intergalactic broths that warm the heart. And amidst the stars' embrace, they find solace in the grandeur of opera, where their celestial voice soars through the cosmic stage."
79,Stellarion,Amethystopia,2/29/1904,curry,rock,leather crafting,The Magic School Bus series by Joanna Cole,4,"swimming, walking",shark boots,Cosmic Botanical Geneticist,449351,Cosmic Yoga Instructor,alto,"Meet Stellarion, the intergalactic Cosmic Botanical Geneticist, blending flora across galaxies with their green thumbs! With a passion for leather crafting, they fashion cosmic accessories that transcend time and space. Savoring the spicy allure of curry, Stellarion concocts interstellar flavors that ignite taste buds. And amidst their scientific pursuits, they rock out to cosmic rhythms, letting the power of rock fuel their interstellar experiments. Join Stellarion's cosmic botanical adventure, where leather, curry, and rock collide in a whimsical symphony of creativity."
80,Astraflux,Graykor 5,8/4/1941,nachos,pop,knitting,Clifford the Big Red Dog by Norman Bridwell,1,"walking, running",athletic sandals,Astral Athlete,420108,Interplanetary Astral Travel Guide,mezzo-soprano,"Welcome to the cosmic playground of Astraflux, the high-flying Astral Athlete who defies gravity with celestial grace! From gravity-defying flips to interstellar sprints, they astound with cosmic athleticism. When not conquering astral challenges, Astraflux weaves intergalactic wonders through the art of knitting, stitching cosmic threads that bind the universe together. Fueling their cosmic energy, they indulge in the crispy delights of nachos, creating gravity-bending toppings that tantalize alien taste buds. And as the stars twinkle in the cosmic sky, they dance to the vibrant beats of pop music, spreading joy throughout the galaxy."
81,Zentara,Maedora,3/1/1939,burrito,jazz,crocheting,The Very Hungry Caterpillar by Eric Carle,1,"walking, jumping",rainbow sneakers,Quantum Reality Hacker,315355,Stellar Fashion Designer,bass,"Step into the enchanting world of Zentara, the cosmic Quantum Reality Hacker who bends the fabric of the universe with a mischievous grin! With their interstellar crochet hook, they weave cosmic wonders that blur the boundaries of reality. When not unraveling quantum mysteries, Zentara indulges in the tantalizing flavors of burritos, concocting gravity-defying fillings that send taste buds on an intergalactic journey. And in the cosmic symphony of life, they groove to the smooth rhythms of jazz, improvising melodies that resonate with the pulsating beat of the universe."
82,Novaron,Proboscisk,10/22/1927,dumplings,blues,quilting,Guess How Much I Love You by Sam McBratney,1,walking,slip-on loafers,Alien Celebrity Agent,204338,Intergalactic Treasure Hunter,alto,"Introducing Novaron, the charismatic Alien Celebrity Agent who weaves cosmic stardom like an intergalactic quilt! With a knack for spotting talent among the stars, they launch alien celebrities into cosmic fame. When not managing interstellar superstars, Novaron stitches celestial wonders through the art of quilting, crafting cosmic patterns that defy earthly comprehension. Their taste buds dance with joy as they savor the delectable dumplings, creating otherworldly fillings that tantalize alien palates. And when the cosmic blues strike, Novaron immerses themselves in soulful melodies, harmonizing with the universe's rhythm."
83,Celestrix,Proboscisk,2/12/1975,pancakes,country,playing darts,"Brown Bear, Brown Bear, What Do You See? by Bill Martin Jr.",1,walking,cork wedges,Solar System Historian,949048,Cosmic Gastronomy Chef,tenor,"Step into the cosmic archives with Celestrix, the lively Solar System Historian who unravels the celestial tales of yore! With a dart in hand and a mischievous aim, they launch cosmic anecdotes straight into the heart of history. When not exploring the mysteries of the cosmos, Celestrix indulges in the fluffy delight of pancakes, concocting intergalactic flavors that make mornings cosmic. And amidst their scholarly pursuits, they sway to the twangy rhythms of country music, where lyrics become cosmic poetry."
84,Intergalora,Krachonk,9/17/1924,waffles,hip hop,hiking,Where the Wild Things Are by Maurice Sendak,2,"walking, jumping",leopard print pumps,Interstellar Culinary Critic,564729,Alien Technology Ethicist,tenor,"Prepare your taste buds for an otherworldly adventure with Intergalora, the cosmic Interstellar Culinary Critic who explores gastronomic delights across the galaxies! With a discerning palate and a zest for discovery, they unearth interstellar flavors that send taste buds into orbit. When not indulging in cosmic cuisine, Intergalora hikes through celestial landscapes, soaking in the breathtaking vistas of alien worlds. And amidst their culinary adventures, they savor the crispy delights of waffles, creating intergalactic toppings that elevate breakfast to cosmic heights. It's the rhythmic beats of hip hop that set their cosmic journey to motion, turning dining experiences into a soulful symphony."
85,Nebularis,Krachonk,4/5/1974,sandwich,rap,collecting seashells,"Goodnight, Gorilla by Peggy Rathmann",1,"walking, skipping",sequin flats,Time Warp Engineer,498191,Universal Space Filmmaker,baritone and falsetto,"Enter the realm of Nebularis, the time-bending Time Warp Engineer who tinkers with cosmic chronology! With a twinkle in their eyes and a cosmic wrench in hand, they manipulate the fabric of time with mischievous delight. When not navigating the temporal maze, Nebularis scours the cosmic shores, collecting seashells that whisper tales of distant worlds. Their taste buds dance with joy as they savor the infinite possibilities of intergalactic sandwiches, crafting gravity-defying fillings that defy culinary norms. And amidst the cosmic symphony, they groove to the energetic rhythms of rap, their lyrics weaving tales of temporal triumphs."
86,Zephyrix,Pepinos IV,2/20/1908,popcorn,reggae,calligraphy,Love You Forever by Robert Munsch,1,walking,bow sandals,Space Psychonaut,749935,Extraterrestrial Wildlife Documentary Host,mezzo-soprano,"Step into the cosmic psyche of Zephyrix, the transcendental Space Psychonaut who traverses the depths of the mind with cosmic grace! With an otherworldly quill, they paint ethereal calligraphy that unravels the mysteries of consciousness. When not exploring the depths of the mind, Zephyrix indulges in the fluffy crunch of popcorn, conjuring interstellar flavors that ignite the senses. And amidst their astral journey, they sway to the soothing rhythms of reggae, finding solace in the cosmic melodies that unite the universe."
87,Astrovon,Proboscisk,12/2/1937,donuts,folk,coin collecting,Chicka Chicka Boom Boom by Bill Martin Jr.,3,"walking, jumping",fringe boots,Celestial Event Planner,489991,Celestial Starship Captain,tenor,"Welcome to the celestial festivities orchestrated by Astrovon, the whimsical Celestial Event Planner who brings cosmic enchantment to the stars! With a keen eye for celestial aesthetics, they design intergalactic gatherings that leave cosmic beings in awe. When not crafting celestial celebrations, Astrovon embarks on interstellar treasure hunts, collecting cosmic coins that shimmer with intergalactic history. And amidst the celestial merriment, they savor the sugary delight of donuts, conjuring flavors that send taste buds into orbit. It's the soothing melodies of folk music that set the cosmic mood, transforming gatherings into harmonious cosmic symphonies."
88,Galactara,Isronch Minor,7/9/1974,cookies,classical,vinyl collecting,The Giving Tree by Shel Silverstein,1,rolling,none,UFO Chaser,925712,Interstellar Futurist,bass,"Embark on a cosmic adventure with Galactara, the UFO Chaser who searches the galaxies for extraterrestrial wonders! Armed with a trusty turntable, they explore interstellar sounds through vinyl collecting, spinning cosmic melodies that transcend space and time. When not scanning the skies, Galactara indulges in the sweet delights of cookies, concocting intergalactic recipes that satisfy alien taste buds. And amidst their thrilling pursuits, they find solace in the timeless compositions of classical music, where harmonies from distant stars intertwine. "
89,Xylovare,Isronch Major,11/17/1995,soup,electronic,archery,The Snowman by Raymond Briggs,1,walking,wedge sneakers,Lunar Art Curator,24129,Chief Galactic Explorer,alto,"Enter the lunar gallery curated by Xylovare, a Lunar Art Curator who turns moonlight into celestial masterpieces! With an expert archer's aim, they shoot cosmic arrows of creativity, painting lunar landscapes with whimsical strokes. When not immersed in the world of art, Xylovare savors the comforting warmth of soups, conjuring interstellar flavors that soothe alien taste buds. And amidst their lunar reverie, they groove to the pulsating beats of electronic music, where cosmic melodies fuse with energetic rhythms."
90,Solaron,Krachonk,6/22/2000,bread,metal,bonsai cultivation,The True Story of the Three Little Pigs by Jon Scieszka,2,rolling,none,Planetary Weather Manipulator,374173,Cosmic Humanitarian,alto,"Step into the cosmic weather patterns controlled by Solaron, the Planetary Weather Manipulator who conducts celestial symphonies of rain and sunshine! With nimble alien hands, they shape bonsai masterpieces that embody miniature cosmic landscapes. When not orchestrating planetary weather, Solaron kneads intergalactic dough to create heavenly bread that satiates alien hunger. And amidst the atmospheric fluctuations, they unleash the thunderous power of metal music, headbanging to cosmic riffs that shake the very foundations of the cosmos. "
91,Lunavon,Proboscisk,7/31/1931,hot dog,punk rock,car restoration,The Rainbow Fish by Marcus Pfister,1,"walking, jumping",ballet flats,Zero-G Yoga Therapist,705991,Intergalactic Theme Park Designer,soprano,"Welcome to the cosmic realm of Lunavon, the free-spirited Zero-G Yoga Therapist who floats through the galaxies, guiding celestial beings towards inner harmony! With cosmic wrench in hand, they restore interstellar vehicles, transforming cosmic junkyards into celestial hot rods. When not exploring zero gravity poses, Lunavon savors the timeless delight of hot dogs, creating gravity-defying toppings that delight alien taste buds. And amidst the cosmic symphony, they unleash the rebellious energy of punk rock, their cosmic chants inspiring cosmic revolutions. "
92,Orionova,Krachonk,2/20/1914,sushi,funk,skateboarding,Corduroy by Don Freeman,1,rolling,gladiator heels,Astrosurfing Instructor,524445,Stellar Astrologer,tenor,"Get ready to ride the cosmic waves with Orionova, the groovy Astrosurfing Instructor who glides through the stars with cosmic finesse! With a cosmic skateboard as their trusty companion, they carve celestial paths that defy gravity. When not riding stellar waves, Orionova satisfies their intergalactic cravings with sushi creations that blend flavors from distant galaxies. And amidst the cosmic rhythm, they groove to the funky beats, their cosmic moves electrifying the universe."
93,Zentrix,Hexapoda Minor,11/27/1956,pizza,disco,scuba diving,The Tale of Peter Rabbit by Beatrix Potter,2,"walking, jetpack",metallic oxfords,Intergalactic Holographic Artist,77249,Universal Space Historian,baritone,"Dive into the intergalactic realm of Zentrix, the enigmatic Intergalactic Holographic Artist who paints cosmic wonders with ethereal light! Equipped with a cosmic snorkel, they explore the depths of celestial oceans, uncovering hidden treasures that inspire their holographic creations. When not immersed in artistic endeavors, Zentrix indulges in the cheesy delights of interstellar pizza, concocting cosmic toppings that defy culinary imagination. And amidst the pulsating lights, they boogie to the infectious beats of disco, their cosmic moves transcending space and time."
94,Astralia,Pepinos IV,10/24/1914,pasta,gospel,genealogy research,The Velveteen Rabbit by Margery Williams,2,walking,faux fur slides,Alien Avian Ecologist,651751,Extraterrestrial Virtual Reality Developer,contralto,"Fly into the whimsical world of Astralia, the lively Alien Avian Ecologist who soars through the cosmos, studying the celestial flocks with boundless curiosity! With a cosmic magnifying glass, they unravel the intricate web of avian genealogy, tracing interstellar family trees that span across galaxies. When not observing celestial birds, Astralia indulges in the comforting flavors of cosmic pasta, concocting intergalactic sauces that send taste buds on a flavorful journey. And amidst their scholarly pursuits, they find solace in the uplifting harmonies of gospel music, where celestial voices unite in cosmic harmony. "
95,Stellaris,Amethystopia,5/12/1951,tacos,techno,metalworking,Cloudy With a Chance of Meatballs by Judi Barrett,3,"walking, skipping",sparkly heels,Hyperspace Fashion Consultant,468472,Celestial Crystal Healer,soprano,"Step into the interstellar runway guided by Stellaris, the cosmic Hyperspace Fashion Consultant who weaves celestial elegance into every ensemble! With a cosmic hammer in hand, they forge dazzling metal accessories that defy the boundaries of fashion. When not styling cosmic outfits, Stellaris indulges in the flavorful delights of intergalactic tacos, crafting gravity-defying fillings that ignite taste buds with cosmic flavors. And amidst the interstellar beats, they surrender to the pulsating rhythms of techno, their cosmic moves electrifying the cosmic dance floor."
